Source,Target,Type,Id,Label,Weight
Expensiveness,Supporting agricultural production,Undirected,601,,3.58
Expensiveness,Removal of taxes,Undirected,602,,3.15
Expensiveness,Supporting sharing economy,Undirected,603,,3.27
Expensiveness,Supporting cooperatives,Undirected,604,,3.49
Expensiveness,"Establishment of common production areas in villages such as cold stores, small production facilities",Undirected,605,,3.23
Inactive cooperatives and lack of support,Supporting agricultural production,Undirected,606,,3.55
Inactive cooperatives and lack of support,Supporting sharing economy,Undirected,607,,3.25
Inactive cooperatives and lack of support,Supporting cooperatives,Undirected,608,,3.46
Inactive cooperatives and lack of support,"Establishment of common production areas in villages such as cold stores, small production facilities",Undirected,609,,3.21
Inadequate irrigation infrastructure,Supporting agricultural production,Undirected,610,,3.37
Inadequate irrigation infrastructure,Supporting cooperatives,Undirected,611,,3.29
Lack of sufficient and varied job opportunities,Supporting agricultural production,Undirected,612,,3.33
Lack of sufficient and varied job opportunities,"Supporting commercial enterprises, SMEs",Undirected,613,,2.98
Lack of sufficient and varied job opportunities,Socializing and shopping facilities for young population,Undirected,614,,2.9
Lack of sufficient and varied job opportunities,"Establishment of common production areas in villages such as cold stores, small production facilities",Undirected,615,,2.98
Lack of quality of life and living conditions,Supporting sharing economy,Undirected,616,,3.13
Lack of quality of life and living conditions,Socializing and shopping facilities for young population,Undirected,617,,3
Accessibility,Socializing and shopping facilities for young population,Undirected,618,,3
Accessibility,"Establishment of common production areas in villages such as cold stores, small production facilities",Undirected,619,,3.08
Environmental pollution in the region,Reducing and eliminating environmental problems,Undirected,620,,3.03
Destruction of natural resources in the region,Reducing and eliminating environmental problems,Undirected,621,,2.92
Environmental pollution in the district,Reducing and eliminating environmental problems,Undirected,622,,2.95
Dry seasons,Supporting cooperatives,Undirected,623,,3.34
Dry seasons,"Providing consultancy services of veterinary, agricultural or forest engineering to villages.",Undirected,624,,3.2
Pollutant effect of industrial plants or mining sites,Reducing and eliminating environmental problems,Undirected,625,,3.03
Depletion or destruction of local natural resources,Reducing and eliminating environmental problems,Undirected,626,,2.88
Depletion or destruction of local natural resources,"Providing consultancy services of veterinary, agricultural or forest engineering to villages.",Undirected,627,,3.02
Diseases and pests in agricultural and animal products,Supporting cooperatives,Undirected,628,,3.12
Diseases and pests in agricultural and animal products,"Providing consultancy services of veterinary, agricultural or forest engineering to villages.",Undirected,629,,2.97
Usage of foreign seeds,Supporting sharing economy,Undirected,630,,3.13
Usage of foreign seeds,Supporting cooperatives,Undirected,631,,3.34
Usage of foreign seeds,"Providing consultancy services of veterinary, agricultural or forest engineering to villages.",Undirected,632,,3.2
Misuse of pasture areas,Supporting cooperatives,Undirected,633,,3.34
