Source,Target,Type,Id,Label,Weight
3.62 Lack of adequate and varied transport connections,Empowerment of the regional transportation connections,Undirected,948,,3.62
3.62 Lack of adequate and varied transport connections,Improvement for transportation options and hubs,Undirected,949,,3.62
3.62 Lack of adequate and varied transport connections,3.54-Increasing and improving public transportation facilities,Undirected,950,,3.62
3.62 Lack of adequate and varied transport connections,3.23 Improvement of infrastructure (road-water) services,Undirected,951,,3.62
3.23 Lack of sufficient and diverse enterprises and industrial zones,Supporting regional investment networks and evenly developed regions,Undirected,952,,3.23
3.23 Lack of sufficient and diverse enterprises and industrial zones,Improvement for transportation options and hubs,Undirected,953,,3.23
3.23 Lack of sufficient and diverse enterprises and industrial zones,Developing  economic networks and circular economy in the district,Undirected,954,,3.23
3.23 Lack of sufficient and diverse enterprises and industrial zones,Creating innovative job opp.  in rural areas,Undirected,955,,3.23
3.31 Aging,Improvement of Rural Development Policies,Undirected,956,,3.31
3.31 Aging,Using new digital solutions and providing distributed services,Undirected,957,,3.31
3.31 Aging,3.15 Improving health care facilities,Undirected,958,,3.31
3.31 Aging,Making rural areas attractive- for new comers,Undirected,959,,3.31
3.31 Aging,Developing  economic networks and circular economy in the district,Undirected,960,,3.31
3.31 Aging,Developing solutions for aging related problem,Undirected,961,,3.31
3.31 Aging,Improving social interactions and relations,Undirected,962,,3.31
3.31 Aging,Improving accessibility health care services by new digital tools,Undirected,963,,3.31
3.31 Aging,Improving attractiveness of villages for young people,Undirected,964,,3.31
3.31 Aging,Considering digital gap between generations,Undirected,965,,3.31
3.31 Aging,Creating innovative job opp.  in rural areas,Undirected,966,,3.31
2.67  Weakness of social relations,Making rural areas attractive- for new comers,Undirected,967,,2.67
2.67  Weakness of social relations,Understanding local needs more deliberatlly,Undirected,968,,2.67
2.67  Weakness of social relations,Developing solutions for aging related problem,Undirected,969,,2.67
2.67  Weakness of social relations,Improving social interactions and relations,Undirected,970,,2.67
2.67  Weakness of social relations,Considering digital gap between generations,Undirected,971,,2.67
2.92 Difficulty of access to the health care services in villages,Improvement of Rural Development Policies,Undirected,972,,2.92
2.92 Difficulty of access to the health care services in villages,Using new digital solutions and providing distributed services,Undirected,973,,2.92
2.92 Difficulty of access to the health care services in villages,3.15 Improving health care facilities,Undirected,974,,2.92
2.92 Difficulty of access to the health care services in villages,Improvement for transportation options and hubs,Undirected,975,,2.92
2.92 Difficulty of access to the health care services in villages,Developing solutions for aging related problem,Undirected,976,,2.92
2.92 Difficulty of access to the health care services in villages,Improving accessibility health care services by new digital tools,Undirected,977,,2.92
2.92 Difficulty of access to the health care services in villages,3.54-Increasing and improving public transportation facilities,Undirected,978,,2.92
2.92 Difficulty of access to the health care services in villages,3.23 Improvement of infrastructure (road-water) services,Undirected,979,,2.92
2.55 Difficulty of access to education services  in villages,Improvement of Rural Development Policies,Undirected,980,,2.55
2.55 Difficulty of access to education services  in villages,Using new digital solutions and providing distributed services,Undirected,981,,2.55
2.55 Difficulty of access to education services  in villages,Improvement for transportation options and hubs,Undirected,982,,2.55
2.55 Difficulty of access to education services  in villages,Improving education service opportunities and accessibility to them by new tools,Undirected,983,,2.55
2.55 Difficulty of access to education services  in villages,3.54-Increasing and improving public transportation facilities,Undirected,984,,2.55
2.55 Difficulty of access to education services  in villages,3.77-Broadband Internet access,Undirected,985,,2.55
2.55 Difficulty of access to education services  in villages,3.23 Improvement of infrastructure (road-water) services,Undirected,986,,2.55
Insufficient attractiveness / perspective for young people,Improvement of Rural Development Policies,Undirected,987,,3
Insufficient attractiveness / perspective for young people,Using new digital solutions and providing distributed services,Undirected,988,,3
Insufficient attractiveness / perspective for young people,Making rural areas attractive- for new comers,Undirected,989,,3
Insufficient attractiveness / perspective for young people,Understanding local needs more deliberatlly,Undirected,990,,3
Insufficient attractiveness / perspective for young people,Improvement for transportation options and hubs,Undirected,991,,3
Insufficient attractiveness / perspective for young people,Developing  economic networks and circular economy in the district,Undirected,992,,3
Insufficient attractiveness / perspective for young people,Improving social interactions and relations,Undirected,993,,3
Insufficient attractiveness / perspective for young people,Improving accessibility health care services by new digital tools,Undirected,994,,3
Insufficient attractiveness / perspective for young people,Improving education service opportunities and accessibility to them by new tools,Undirected,995,,3
Insufficient attractiveness / perspective for young people,Improving attractiveness of villages for young people,Undirected,996,,3
Insufficient attractiveness / perspective for young people,Creating innovative job opp.  in rural areas,Undirected,997,,3
Insufficient attractiveness / perspective for young people,3.77-Broadband Internet access,Undirected,998,,3
Digitization and the associated decrease in real social contacts,Making rural areas attractive- for new comers,Undirected,999,,3
Digitization and the associated decrease in real social contacts,Understanding local needs more deliberatlly,Undirected,1000,,3
Digitization and the associated decrease in real social contacts,Developing solutions for aging related problem,Undirected,1001,,3
Digitization and the associated decrease in real social contacts,Improving social interactions and relations,Undirected,1002,,3
Digitization and the associated decrease in real social contacts,Improving accessibility health care services by new digital tools,Undirected,1003,,3
Digitization and the associated decrease in real social contacts,Considering digital gap between generations,Undirected,1004,,3
3.85 Lack of sufficient and varied job opportunities,Supporting regional investment networks and evenly developed regions,Undirected,1005,,3.85
3.85 Lack of sufficient and varied job opportunities,Making rural areas attractive- for new comers,Undirected,1006,,3.85
3.85 Lack of sufficient and varied job opportunities,Improvement for transportation options and hubs,Undirected,1007,,3.85
3.85 Lack of sufficient and varied job opportunities,Developing  economic networks and circular economy in the district,Undirected,1008,,3.85
3.85 Lack of sufficient and varied job opportunities,Developing solutions for aging related problem,Undirected,1009,,3.85
3.85 Lack of sufficient and varied job opportunities,Improving social interactions and relations,Undirected,1010,,3.85
3.85 Lack of sufficient and varied job opportunities,Improving accessibility health care services by new digital tools,Undirected,1011,,3.85
3.85 Lack of sufficient and varied job opportunities,Improving attractiveness of villages for young people,Undirected,1012,,3.85
3.85 Lack of sufficient and varied job opportunities,Considering digital gap between generations,Undirected,1013,,3.85
3.85 Lack of sufficient and varied job opportunities,Creating innovative job opp.  in rural areas,Undirected,1014,,3.85
3.85 Lack of sufficient and varied job opportunities,3.77-Broadband Internet access,Undirected,1015,,3.85
3.54  Insufficient or infrequent public transport facilities,Improvement for transportation options and hubs,Undirected,1016,,3.54
3.54  Insufficient or infrequent public transport facilities,Improving social interactions and relations,Undirected,1017,,3.54
3.54  Insufficient or infrequent public transport facilities,3.54-Increasing and improving public transportation facilities,Undirected,1018,,3.54
3.54  Insufficient or infrequent public transport facilities,3.23 Improvement of infrastructure (road-water) services,Undirected,1019,,3.54
2.69 Insufficient communication and internet access,Using new digital solutions and providing distributed services,Undirected,1020,,2.69
2.69 Insufficient communication and internet access,Making rural areas attractive- for new comers,Undirected,1021,,2.69
2.69 Insufficient communication and internet access,Developing  economic networks and circular economy in the district,Undirected,1022,,2.69
2.69 Insufficient communication and internet access,Improving social interactions and relations,Undirected,1023,,2.69
2.69 Insufficient communication and internet access,Improving accessibility health care services by new digital tools,Undirected,1024,,2.69
2.69 Insufficient communication and internet access,Improving education service opportunities and accessibility to them by new tools,Undirected,1025,,2.69
2.69 Insufficient communication and internet access,Improving attractiveness of villages for young people,Undirected,1026,,2.69
2.69 Insufficient communication and internet access,Considering digital gap between generations,Undirected,1027,,2.69
2.69 Insufficient communication and internet access,Creating innovative job opp.  in rural areas,Undirected,1028,,2.69
2.69 Insufficient communication and internet access,3.77-Broadband Internet access,Undirected,1029,,2.69
2.62 Bad road infrastructure,Improvement for transportation options and hubs,Undirected,1030,,2.62
2.62 Bad road infrastructure,Improving social interactions and relations,Undirected,1031,,2.62
2.62 Bad road infrastructure,3.54-Increasing and improving public transportation facilities,Undirected,1032,,2.62
2.62 Bad road infrastructure,3.23 Improvement of infrastructure (road-water) services,Undirected,1033,,2.62
Lower wages,Making rural areas attractive- for new comers,Undirected,1034,,3
Lower wages,Developing  economic networks and circular economy in the district,Undirected,1035,,3
Lower wages,Improving attractiveness of villages for young people,Undirected,1036,,3
Lower wages,Creating innovative job opp.  in rural areas,Undirected,1037,,3
Lower wages,3.77-Broadband Internet access,Undirected,1038,,3
